alpha_rmse,beta1_rmse,beta2_rmse,psi_rmse,peak_rmse,duration_rmse,sd,l0,task_id,iter
2.67968681530469,1.6196770074568378,1.4903199725143503,2.168505834619754,3.2821027463793087,2.506980813958508,4.5,4,173,3
2.857271878202647,1.763898899315502,1.644207462381418,2.150935318426741,3.4689813009093244,2.6255873202480355,4.5,4,173,4
3.168771718990848,1.8119824714010233,1.7154283333465858,2.2606952590564435,3.454262085400006,3.073549231495806,4.5,4,173,5
3.2995072220015937,1.8452374878370073,1.7292022914285765,2.37774341710962,3.692313195358748,3.1172088820297543,4.7,4,174,1
3.0139974528362745,1.8332772468163,1.7266110255346692,2.2144715617952953,3.3525449724233516,2.8938804427523688,4.7,4,174,2
2.7901365894694545,1.91692019690543,1.790147216097074,2.252013413085443,3.0903828774945428,2.7140772685877113,4.7,4,174,3
3.0241989625793524,1.795977329943925,1.6612389694964511,2.2933081471317114,3.711041022905508,2.6028623624241214,4.7,4,174,4
3.0581835682437877,1.825957158084041,1.6889419004260509,2.3262719421351408,3.564263498417409,2.7319355197580375,4.7,4,174,5
2.8521596980612927,1.8352984584697225,1.7108262742634153,2.1905356171402715,3.4150724935124064,2.628354119359497,4.9,4,175,1
2.8858982807103324,1.899488169115125,1.7596780520460211,2.314509585862115,3.413159055796935,2.766828386553284,4.9,4,175,2
3.2107734560772236,2.0342290475175373,1.92074752850504,2.3925862523407795,3.3905253370463613,3.1211723253261874,4.9,4,175,3
2.84884665874145,1.6636750896551582,1.5784439791905358,2.003154457701755,3.4929138832424607,2.728720535903663,4.9,4,175,4
3.264525116672662,1.9293730975068135,1.827937349383848,2.377341341091258,3.714121906472061,3.304020263699303,4.9,4,175,5
2.990333656571045,1.8012607267854044,1.7091639366359743,2.160451637366648,3.525653729531113,2.942932233021429,5.1,4,176,1
2.6945324235886425,1.958359307756449,1.805763937662531,2.276166952594508,3.310543183925219,2.4495874430986415,5.1,4,176,2
3.425414105583869,1.9896130873410935,1.8900389352107168,2.3768299492927163,3.993730337309183,3.425959326430943,5.1,4,176,3
