est_alpha,est_beta1,est_beta2,est_psi,true_alpha,true_beta1,true_beta2,true_psi,alpha_rmse,beta1_rmse,beta2_rmse,psi_rmse,sd,l0,task_id,iter
-38.00459911993827,43.875548098457585,-45.672369906046875,1.261196639139697,3,2,-4,5,41.098179907477785,41.96466809711924,41.76202425652769,3.7388361314734646,7.3,4,87,2
-25.14883515677521,35.70248100349167,-37.45431177638996,1.1949602628108666,3,2,-4,5,28.38872091209504,33.96499120036579,33.719107114056264,3.805230291201748,7.3,4,87,3
-30.801694343289316,41.57629719681672,-43.32023657337909,1.164461682890126,3,2,-4,5,33.96281033835692,39.75233464723646,39.497699415060865,3.8356220512785386,7.3,4,87,4
-18.99461408339148,28.07653433116705,-29.787985455374315,1.295174137140475,3,2,-4,5,22.362327908267744,26.469547038698433,26.186116848174713,3.70543020286846,7.3,4,87,5
-24.37173622487738,34.894915931907214,-36.56466412786702,1.1902398024315215,3,2,-4,5,27.645652790468944,33.197090771832634,32.87063483835672,3.809993327092851,7.5,4,88,1
-37.438124875955296,47.70361217197339,-49.44634235056304,1.1488108122604708,3,2,-4,5,40.58198273967661,45.85634949116108,45.6001321011907,3.851235416204874,7.5,4,88,2
-32.53278002193864,49.59710654192358,-51.323754861107936,1.007859316045247,3,2,-4,5,35.6501312593944,47.74289954015544,47.47060018792901,3.992179677208243,7.5,4,88,3
-31.063244864898177,39.72576764501693,-41.41937303255545,1.2125942122166604,3,2,-4,5,34.24606852214549,37.91290234020751,37.608452570637745,3.787495981640949,7.5,4,88,4
-18.388399671635177,28.104173924639348,-29.766067982664357,1.2688227548631048,3,2,-4,5,21.76324622587591,26.512094922702342,26.17993738040588,3.731832821440749,7.5,4,88,5
-16.635311817879195,24.61450535008382,-26.336418429618753,1.3842808286517156,3,2,-4,5,20.10356590335939,23.093779350534906,22.82202711720613,3.6169204111953217,7.7,4,89,1
-30.67099763560589,36.71379791951003,-38.49190828404792,1.3107136991242871,3,2,-4,5,33.92766026862239,34.95917432855266,34.739350942363956,3.689455937833196,7.7,4,89,2
-31.63827322450098,44.971531729727154,-46.680649959751,1.0884972520889191,3,2,-4,5,34.82890780622045,43.19105402958153,42.902003836037125,3.911581530049262,7.7,4,89,3
-29.934997634673504,42.59785074368871,-44.27199164870708,1.10917914762485,3,2,-4,5,33.15087359925216,40.84546467364078,40.522091318471325,3.890923267723342,7.7,4,89,4
