alpha_rmse,beta1_rmse,beta2_rmse,psi_rmse,sd,l0,task_id,iter
0.02095097363677498,0.04345772551465723,0.05820959708704565,0.09418944678018594,1.3000000000000005,1,7,3
0.01404200554856907,0.06005356732260288,0.09225322171566291,0.09496931009272312,1.3000000000000005,1,7,4
0.00379132897330019,0.04423935267498746,0.08924271710171645,0.12296064081071136,1.3000000000000005,1,7,5
0.0056770671673846,0.0430931142654125,0.07354505782725258,0.09313936211786196,1.5000000000000002,1,8,1
0.01585948050921046,0.05957024151367529,0.09054231991265882,0.11953329169104908,1.5000000000000002,1,8,2
0.00532586507719838,0.05442617283094812,0.08113570595037782,0.11843906924247878,1.5000000000000002,1,8,3
0.02721355801122759,0.04597553746628946,0.0705992361031981,0.11746550671789288,1.5000000000000002,1,8,4
0.03375912410137702,0.04157426763962846,0.08048179885261006,0.11378803847465012,1.5000000000000002,1,8,5
0.01163825414059834,0.05791731547877951,0.08209639641837332,0.0776898024471353,1.7000000000000002,1,9,1
0.02315011012342669,0.03119846804840068,0.06372640311724403,0.12013854170445598,1.7000000000000002,1,9,2
0.02722647816318206,0.0339050225187098,0.06350180439508268,0.1062701984762563,1.7000000000000002,1,9,3
0.05363692098152288,0.05474168779012239,0.06120340436330446,0.13232253094712465,1.7000000000000002,1,9,4
0.02587015768771804,0.04296141716888626,0.07516201562939735,0.07769661111467827,1.7000000000000002,1,9,5
0.02111190763542013,0.02119633188266358,0.07009344931522243,0.09857153305744376,1.9,1,10,1
0.00668019606830648,0.03595559383853302,0.07535371750993781,0.0938089214502084,1.9,1,10,2
0.04941316519973801,0.04841376955845346,0.04900060058572864,0.1211643521567756,1.9,1,10,3
0.03443374367528629,0.06889612515328948,0.08026497286349284,0.13156766690265304,1.9,1,10,4
0.03371621601813621,0.03335999114150907,0.07589477133538038,0.11500609930357043,1.9,1,10,5
0.02122901974857193,0.02349174256621758,0.07910570849406819,0.08960514383314808,2.1,1,11,1
0.02429998039063837,0.04100702044084833,0.05755053539242037,0.1035690518456445,2.1,1,11,2
0.01885445283385961,0.03307745920054673,0.08119951325651618,0.09413777669863616,2.1,1,11,3
0.05878584698618898,0.05803077373746126,0.05000196300629854,0.18084435581321132,2.1,1,11,4
0.01605250002740314,0.03313708361835177,0.07075979791009922,0.11024279632237494,2.1,1,11,5
0.0293459283941812,0.0459478322893315,0.09165500519709456,0.12399490266916652,2.3000000000000003,1,12,1
0.01444700336948184,0.04230082928083572,0.08321132453793352,0.10947243942599624,2.3000000000000003,1,12,2
0.00871013125713284,0.02762831902944379,0.07887925556707569,0.09156539233546857,2.3000000000000003,1,12,3
0.0104665503337755,0.04293562358604215,0.08079580787440861,0.11284288554387269,2.3000000000000003,1,12,4
0.00512542597587281,0.0421715905184566,0.07739814447629556,0.10201664630706218,2.3000000000000003,1,12,5
0.02913486375513436,0.06280060635430168,0.07641241162240527,0.11864613432779782,2.5000000000000004,1,13,1
0.00108568442205052,0.04888968234803768,0.07072429964991073,0.09926149373499206,2.5000000000000004,1,13,2
0.01260074029465966,0.04294139370134557,0.07211491020148464,0.09978199051673738,2.5000000000000004,1,13,3
0.02667894202489553,0.0611991104901809,0.09533588369599531,0.09921316080931024,2.5000000000000004,1,13,4
0.00668947560341367,0.03968476274680761,0.07280371847185861,0.08725349399170988,2.5000000000000004,1,13,5
0.02184292008143096,0.02825688285144899,0.06015918928875353,0.1139810927158739,2.7,1,14,1
0.00232044241861927,0.03286246609647564,0.07852898135581353,0.08914573137120997,2.7,1,14,2
0.0554265706282619,0.03333915042422416,0.04121442696800694,0.0744150797122406,2.7,1,14,3
0.02193117015302653,0.03510096918314223,0.08727597776741047,0.11092702616024884,2.7,1,14,4
0.03830016075683155,0.05594627553743735,0.06011040899356577,0.1555877646393762,2.7,1,14,5
0.10256807619453734,0.04373211690759279,0.16348451209646372,0.09776704104326615,2.9000000000000004,1,15,1
0.05349133988754285,0.06953905216339692,0.0820007814397253,0.1464264374020248,2.9000000000000004,1,15,2
